(-0.26139573096072144+0j),0.26139573096072144j,-0.9652317192444053j,(-0.9652317192444053+0j)
(-0.26329662420553246+0j),0.26329662420553246j,-0.9647149256033986j,(-0.9647149256033986+0j)
(-0.9200089108822667+0j),0.9200089108822667j,-0.39189744053416004j,(-0.39189744053416004+0j)
(-0.9881198709685066+0j),0.9881198709685066j,-0.15368513460052746j,(-0.15368513460052746+0j)
(-0.7991197355112909+0j),0.7991197355112909j,-0.6011718958138054j,(-0.6011718958138054+0j)
(-0.8064944073541462+0j),0.8064944073541462j,-0.5912417195246669j,(-0.5912417195246669+0j)
(-0.8303452498975502+0j),0.8303452498975502j,-0.5572492853046785j,(-0.5572492853046785+0j)
(-0.839068666647122+0j),0.839068666647122j,-0.544025525734796j,(-0.544025525734796+0j)
(-0.8482324898610728+0j),0.8482324898610728j,-0.5296240583131444j,(-0.5296240583131444+0j)
(-0.848780535430618+0j),0.848780535430618j,-0.5287453098365161j,(-0.5287453098365161+0j)
(-0.9417791433137804+0j),0.9417791433137804j,-0.33623212996256296j,(-0.33623212996256296+0j)
(-0.48878668020393656+0j),-0.48878668020393656j,0.8724033363388835j,(-0.8724033363388835+0j)
(-0.856707549154146+0j),0.856707549154146j,-0.5158024575574418j,(-0.5158024575574418+0j)
(-0.8595420148961387+0j),0.8595420148961387j,-0.5110650884459694j,(-0.5110650884459694+0j)
(-0.8699127504063053+0j),0.8699127504063053j,-0.49320564339891476j,(-0.49320564339891476+0j)
(-0.8742576200409651+0j),0.8742576200409651j,-0.48546226815305377j,(-0.48546226815305377+0j)
(-0.879210422437011+0j),0.879210422437011j,-0.47643366073162075j,(-0.47643366073162075+0j)
(-0.8795204766399779+0j),0.8795204766399779j,-0.4758610418714548j,(-0.4758610418714548+0j)
(-0.7461053407644052+0j),0.7461053407644052j,-0.6658279210748308j,(-0.6658279210748308+0j)
(-0.7680834670206301+0j),0.7680834670206301j,-0.6403497385722654j,(-0.6403497385722654+0j)
(-0.811735999671707+0j),0.811735999671707j,-0.5840245430090885j,(-0.5840245430090885+0j)
(-0.8156167810783841+0j),0.8156167810783841j,-0.5785924873547317j,(-0.5785924873547317+0j)
(-0.8391532454506143+0j),0.8391532454506143j,-0.5438950548126921j,(-0.5438950548126921+0j)
(-0.8581369873212963+0j),0.8581369873212963j,-0.5134207932983719j,(-0.5134207932983719+0j)
(-0.8973741995549251+0j),0.8973741995549251j,-0.44127037740274105j,(-0.44127037740274105+0j)
(-0.9009399185518269+0j),0.9009399185518269j,-0.43394384793407076j,(-0.43394384793407076+0j)
(-0.7567458089814502+0j),0.7567458089814502j,-0.6537092477462825j,(-0.6537092477462825+0j)
(-0.7784134991578537+0j),0.7784134991578537j,-0.6277518811830247j,(-0.6277518811830247+0j)
(-0.981551342150893+0j),0.981551342150893j,-0.19119875188342772j,(-0.19119875188342772+0j)
(-0.9955731727516367+0j),-0.9955731727516367j,0.09398966803452315j,(-0.09398966803452315+0j)
(-0.4508723792742148+0j),0.4508723792742148j,-0.892588425651828j,(-0.892588425651828+0j)
(-0.5823002348594585+0j),0.5823002348594585j,-0.8129738227536109j,(-0.8129738227536109+0j)
(-0.6463926627464629+0j),0.6463926627464629j,-0.7630049315355294j,(-0.7630049315355294+0j)
(-0.6490957715796858+0j),0.6490957715796858j,-0.7607066973001962j,(-0.7607066973001962+0j)
(-0.8287894518308306+0j),0.8287894518308306j,-0.5595605816477348j,(-0.5595605816477348+0j)
(-0.8337592988279205+0j),0.8337592988279205j,-0.5521280934873485j,(-0.5521280934873485+0j)
(-0.8414231915422636+0j),0.8414231915422636j,-0.5403767322293137j,(-0.5403767322293137+0j)
(-0.8419998554469162+0j),0.8419998554469162j,-0.5394777506323797j,(-0.5394777506323797+0j)
(-0.8452252704389719+0j),0.8452252704389719j,-0.5344101816127448j,(-0.5344101816127448+0j)
(-0.8475436838242162+0j),0.8475436838242162j,-0.5307256391109036j,(-0.5307256391109036+0j)
(-0.8517650630707917+0j),0.8517650630707917j,-0.5239239232293279j,(-0.5239239232293279+0j)
(-0.8521205514527632+0j),0.8521205514527632j,-0.5233455510385457j,(-0.5233455510385457+0j)
(-0.8313129143864448+0j),0.8313129143864448j,-0.5558046764595594j,(-0.5558046764595594+0j)
(-0.8358007452349013+0j),0.8358007452349013j,-0.549032889966333j,(-0.549032889966333+0j)
(-0.8600118026995444+0j),0.8600118026995444j,-0.5102741412392755j,(-0.5102741412392755+0j)
(-0.8651657794554368+0j),0.8651657794554368j,-0.5014859659644191j,(-0.5014859659644191+0j)
(-0.9678727938791992+0j),0.9678727938791992j,-0.25144036046043505j,(-0.25144036046043505+0j)
(-0.6509152231553847+0j),0.6509152231553847j,-0.7591504279552084j,(-0.7591504279552084+0j)
(-0.7821874060544585+0j),0.7821874060544585j,-0.6230432262771162j,(-0.6230432262771162+0j)
(-0.784525129068747+0j),0.784525129068747j,-0.6200970261657976j,(-0.6200970261657976+0j)
(-0.8392316668958086+0j),0.8392316668958086j,-0.5437740424839006j,(-0.5437740424839006+0j)
(-0.8398766515002392+0j),0.8398766515002392j,-0.5427773118551896j,(-0.5427773118551896+0j)
(-0.8424935582791303+0j),0.8424935582791303j,-0.5387064175023072j,(-0.5387064175023072+0j)
(-0.8429169659841634+0j),0.8429169659841634j,-0.5380436677966322j,(-0.5380436677966322+0j)
(-0.8475720700142715+0j),0.8475720700142715j,-0.5306803050158572j,(-0.5306803050158572+0j)
(-0.8623579735570963+0j),0.8623579735570963j,-0.506299047443799j,(-0.506299047443799+0j)
(-0.8216528000912774+0j),0.8216528000912774j,-0.5699883122504914j,(-0.5699883122504914+0j)
(-0.8235208189073615+0j),0.8235208189073615j,-0.5672860485030006j,(-0.5672860485030006+0j)
(-0.8395143188234282+0j),0.8395143188234282j,-0.5433375640340318j,(-0.5433375640340318+0j)
(-0.8402804822094836+0j),0.8402804822094836j,-0.5421519263248982j,(-0.5421519263248982+0j)
(-0.8334942293722515+0j),0.8334942293722515j,-0.5525281618190668j,(-0.5525281618190668+0j)
(-0.8347013089820707+0j),0.8347013089820707j,-0.5507029369665807j,(-0.5507029369665807+0j)
(-0.8369298330476653+0j),0.8369298330476653j,-0.5473101995713281j,(-0.5473101995713281+0j)
(-0.837420806956303+0j),0.837420806956303j,-0.5465586812746224j,(-0.5465586812746224+0j)
(-0.837836234240276+0j),0.837836234240276j,-0.5459216469366951j,(-0.5459216469366951+0j)
(-0.8378584853930573+0j),0.8378584853930573j,-0.545887496151773j,(-0.545887496151773+0j)
